codigo_municipio,municipio,uf,proporcao_haddad,proporcao_bolsonaro,votos_haddad,votos_bolsonaro,votos_validos
4125605,SÃO MATEUS DO SUL,PR,0.417,0.583,10658,14918,25576
4117701,PALMEIRA,PR,0.271,0.729,5546,14898,20444
4102406,BANDEIRANTES,PR,0.24,0.76,4626,14638,19264
4112009,JAGUARIAÍVA,PR,0.259,0.741,5092,14567,19659
4122305,RIO NEGRO,PR,0.205,0.795,3757,14557,18314
4117909,PALOTINA,PR,0.229,0.771,4204,14145,18349
4109609,GUARATUBA,PR,0.243,0.757,4476,13921,18397
4102000,ASSIS CHATEAUBRIAND,PR,0.328,0.672,6424,13142,19566
4111803,JACAREZINHO,PR,0.421,0.579,9519,13102,22621
4115705,MATINHOS,PR,0.319,0.681,6124,13045,19169
4117503,PAIÇANDU,PR,0.361,0.639,7320,12934,20254
4107207,DOIS VIZINHOS,PR,0.47,0.53,10951,12353,23304
4108809,GUAÍRA,PR,0.285,0.715,4847,12156,17003
4102109,ASTORGA,PR,0.226,0.774,3446,11831,15277
4110102,IMBITUVA,PR,0.36,0.64,6511,11576,18087
4111506,IVAIPORÃ,PR,0.375,0.625,6656,11074,17730
4117602,PALMAS,PR,0.538,0.462,12589,10803,23392
4108601,GOIOERÊ,PR,0.316,0.684,4990,10777,15767
4109708,IBAITI,PR,0.318,0.682,4979,10688,15667
4101606,ARAPOTI,PR,0.258,0.742,3693,10621,14314
4122206,RIO BRANCO DO SUL,PR,0.478,0.522,9451,10317,19768
4120903,QUEDAS DO IGUAÇU,PR,0.378,0.622,6250,10306,16556
4125704,SÃO MIGUEL DO IGUAÇU,PR,0.363,0.637,5832,10243,16075
4116901,NOVA ESPERANÇA,PR,0.303,0.697,4455,10236,14691
4124053,SANTA TEREZINHA DE ITAIPU,PR,0.251,0.749,3378,10067,13445
4104659,CARAMBEÍ,PR,0.241,0.759,3056,9634,12690
4112108,JANDAIA DO SUL,PR,0.242,0.758,3041,9550,12591
4103602,CAMBARÁ,PR,0.296,0.704,4007,9536,13543
4119400,PIRAÍ DO SUL,PR,0.339,0.661,4827,9417,14244
4128005,UBIRATÃ,PR,0.324,0.676,4473,9343,13816
4104253,CAMPO MAGRO,PR,0.357,0.643,5182,9319,14501
4123501,SANTA HELENA,PR,0.394,0.606,6053,9295,15348
4120804,QUATRO BARRAS,PR,0.239,0.761,2824,9011,11835
4119608,PITANGA,PR,0.536,0.464,10180,8811,18991
4119954,PONTAL DO PARANÁ,PR,0.32,0.68,4057,8638,12695
4114104,MANDAGUAÇU,PR,0.32,0.68,4043,8585,12628
4114302,MANDIRITUBA,PR,0.377,0.623,5156,8514,13670
4113304,LARANJEIRAS DO SUL,PR,0.554,0.446,10413,8374,18787
4106605,CRUZEIRO DO OESTE,PR,0.317,0.683,3852,8283,12135
4121703,RESERVA,PR,0.458,0.542,6896,8161,15057
4100509,ALTÔNIA,PR,0.289,0.711,3301,8130,11431
4101101,ANDIRÁ,PR,0.343,0.657,4168,7969,12137
4128500,WENCESLAU BRAZ,PR,0.273,0.727,2959,7898,10857
4115606,MATELÂNDIA,PR,0.2,0.8,1955,7803,9758
4113502,LOANDA,PR,0.325,0.675,3756,7792,11548
4126504,SERTANÓPOLIS,PR,0.221,0.779,2210,7786,9996
4101200,ANTONINA,PR,0.289,0.711,3150,7761,10911
4127403,TERRA ROXA,PR,0.268,0.732,2784,7616,10400
4121208,QUITANDINHA,PR,0.285,0.715,3015,7565,10580
4127205,TERRA BOA,PR,0.25,0.75,2433,7304,9737
4105904,COLORADO,PR,0.437,0.563,5633,7261,12894
4106308,CORBÉLIA,PR,0.314,0.686,3322,7252,10574
4106506,CORONEL VIVIDA,PR,0.477,0.523,6499,7127,13626
4101903,ASSAÍ,PR,0.251,0.749,2373,7092,9465
4126603,SIQUEIRA CAMPOS,PR,0.388,0.612,4439,7000,11439
4119301,PINHÃO,PR,0.604,0.396,10627,6972,17599
4105409,CHOPINZINHO,PR,0.448,0.552,5633,6945,12578
4126306,SENGÉS,PR,0.336,0.664,3444,6812,10256
4103453,CAFELÂNDIA,PR,0.3,0.7,2793,6528,9321
4106209,CONTENDA,PR,0.335,0.665,3270,6493,9763
4116208,MORRETES,PR,0.333,0.667,3210,6441,9651
4107603,FAXINAL,PR,0.276,0.724,2448,6431,8879
4106803,CRUZ MACHADO,PR,0.409,0.591,4364,6305,10669
4119103,PIÊN,PR,0.211,0.789,1659,6212,7871
4102802,BELA VISTA DO PARAÍSO,PR,0.339,0.661,3170,6183,9353
4110607,IPORÃ,PR,0.31,0.69,2771,6173,8944
4121406,REALEZA,PR,0.409,0.591,4252,6135,10387
4111258,ITAPERUÇU,PR,0.604,0.396,9341,6114,15455
4102307,BALSA NOVA,PR,0.301,0.699,2615,6070,8685
4110508,IPIRANGA,PR,0.31,0.69,2713,6044,8757
4127304,TERRA RICA,PR,0.322,0.678,2839,5989,8828
4104709,CARLÓPOLIS,PR,0.304,0.696,2595,5949,8544
4126801,TAPEJARA,PR,0.311,0.689,2642,5866,8508
4114005,MAMBORÊ,PR,0.317,0.683,2713,5836,8549
4127502,TIBAGI,PR,0.467,0.533,5041,5755,10796
